Timestep, Average Length, Average Reward, Std
603198,60.6,111.53533856284912,2.7621844663022723
609609,59.5,108.66583520948078,2.794521113298955
614305,57.6,104.01716314206246,2.5392460707714775
620175,57.9,103.88565714950217,3.530162193430286
625175,56.9,101.38955189910655,3.488018930781908
630087,55.0,96.4477814976022,5.136398739017786
634652,46.5,79.99850911516488,22.561173794975506
639828,52.3,91.61407552488305,17.974967167018363
644690,57.3,102.24877742529205,5.171574733461141
650179,53.4,92.91513583564041,5.332652422887232
655460,56.0,99.0423820525428,2.8523629562720987
660360,56.6,101.58938954276114,2.4753665971345926
665483,55.6,99.16338550243732,2.505250450405361
670483,58.5,106.37211061635735,2.7772637369001147
675483,57.9,104.95264698390174,2.9429639636847695
680483,61.1,113.7786980934571,3.061314799609571
685828,65.2,125.16633226406069,2.104485368319955
691717,65.2,124.64071269296069,2.708852863064727
696239,68.9,135.38274396183394,2.665203161538007
701239,73.9,149.23444951004217,2.229446002527209
706239,74.8,151.60901432914358,2.705353650619225
711618,72.2,144.00308492069232,4.291510502572918
716375,66.9,129.7424882143411,2.924763186567984
721375,70.4,139.66371062949437,4.1650950363432075
726375,70.6,140.64657531156672,3.7863586913705087
731375,70.2,139.53767808542767,4.102479930331829
736375,76.3,156.1217368262907,3.258509463678319
742117,76.7,155.51182431777934,2.1466135865740235
747117,75.7,154.08220823668609,2.437103104264917
752117,71.9,145.23461500061964,2.7727369147825867
757049,67.6,133.08896663275456,1.8891453318306295
762049,70.5,141.47138085843375,2.7878839514816898
767798,71.7,144.66302090630273,1.799402963815264
774459,70.7,141.29063117438415,2.288717479536094
779900,70.8,140.96873088513502,2.8731068330894556
785372,77.8,160.31259600630167,3.1153229041849313
790685,80.3,166.4124282846375,3.0960981899402307
795685,84.6,177.4469419586691,2.516006719001188
800685,88.7,185.35375529572798,2.7447511430941707
806449,89.2,184.88066942440418,2.4055626249044066
810873,87.1,180.15073748926125,2.378110983442982
815378,83.5,167.98008127834854,2.341227446406509
819828,73.5,146.7279858869261,3.1263154391854293
825446,68.9,134.719300311692,2.9333538871374563
831018,66.7,128.8248633171393,2.3975456430771906
835710,64.0,121.03244146428715,3.3717450873117154
841080,62.4,116.52046555891113,3.00329300124102
847905,62.8,116.65727963013804,3.348621536868681
