,reward_0,reward_1,reward_2,timestep
150,-106.02064145425389,-99.26271829108033,-327.70307136278,150000
151,-260.8733280238985,-310.741597749108,-396.53767388741545,151000
152,-367.916372354169,-355.59596624067484,-354.01175260691963,152000
153,-418.8830386307325,-244.95750398998536,-356.9771623650308,153000
154,-262.837580080741,-292.7225438324754,-245.3575939537107,154000
155,-244.11351346288606,-418.1256210297201,-306.2395338407367,155000
156,-153.84649118839144,-259.16197441862346,-265.3069155567884,156000
157,-488.39496219986944,-250.15748530408317,-303.1952110496593,157000
158,-212.8707489506851,-213.4782072549497,-223.7364299905616,158000
159,-208.21638462935445,-240.47856305290415,-487.13578673409296,159000
160,-161.1418321216833,-327.8088030857507,-237.95309996743825,160000
161,-258.0988359084357,-392.3458305146758,-434.89835189815915,161000
162,-226.7551337848503,-257.4571817943335,-193.81893024086273,162000
163,-214.59395181810356,-283.88094717589274,-272.34869689052726,163000
164,-231.79999794268255,-433.3623362682971,-254.57703078397378,164000
165,-206.27889654305656,-207.84432394554665,-298.57315069587656,165000
166,-198.55298970461857,-517.4891656822371,-286.35500707406646,166000
167,-303.601216078295,-206.58058955217933,-481.6704960209662,167000
168,-308.014029555079,-262.13966514978756,-224.17696798818832,168000
169,-438.1826451571568,-305.9045145316804,-418.46812519993114,169000
170,-278.0444421768391,-277.429524183078,-293.30130156007374,170000
171,-262.6931930289524,-197.0464670533636,-329.54354611202456,171000
172,-238.25905777248587,-265.45495474469124,-323.22217433153753,172000
173,-227.19226296286675,-302.07009058545134,-386.25319515291983,173000
174,-361.24388806125705,-345.66693759305076,-380.61948335836456,174000
175,-203.46220747749626,-308.7279739446783,-257.78064403376777,175000
176,-391.87485127406296,-260.3012105270865,-209.89275257042308,176000
177,-250.23787629418288,-320.56346424733135,-241.23328114691873,177000
178,-251.19250660378842,-405.4058669513011,-345.473217519401,178000
179,-131.1347952698297,-426.58832816682815,-227.18236086156492,179000
180,-304.1418688225084,-255.5019253076189,-229.79348005178076,180000
181,-329.7650659244231,-213.74668349424286,-233.91890409226525,181000
182,-343.07393542398427,-269.1938726604931,-253.9366014639242,182000
183,-300.2214774000845,-276.49157810182027,-310.28784678976274,183000
184,-239.07804840198202,-183.5139094822889,-315.43362976523207,184000
185,-227.76469383841672,-343.614730700617,-237.59818919049562,185000
186,-434.3869247860815,-357.53794242935254,-253.19851788070812,186000
187,-477.2120068922699,-265.9194761079033,-226.78433197383595,187000
188,-414.9518025143361,-361.76776413547174,-363.25926668557435,188000
189,-259.88300212688904,-185.23045608706542,-236.74229661243245,189000
190,-168.80150117014142,-127.04033780095703,-153.2221063289367,190000
191,-299.47851594526327,-340.4196550595536,-241.0532913306678,191000
192,-252.84137933764228,-304.3784450892396,-316.6731004427358,192000
193,-314.3451732336945,-353.31846432450277,-300.924591755613,193000
194,-332.68778974581414,-340.3051421010947,-264.2452031484955,194000
195,-495.8219615795793,-271.2459639503113,-259.1052149347598,195000
196,-278.2682642735193,-355.3969914164345,-174.9794150877681,196000
197,-176.1204618619618,-373.99978481997533,-281.65701568726877,197000
198,-343.88258540612304,-382.5632175461246,-408.02135379698785,198000
199,-466.57622560643335,-440.51771927959607,-409.2908668222179,199000
200,-241.87864153539087,-365.505882486098,-256.97696581963976,200000
201,-187.55458639244134,-316.7692924989635,-162.2591882523118,201000
202,-123.6497550736192,-117.60459300424645,-260.9878188849415,202000
203,-362.1136661583294,-196.91620673355868,-140.29244566914667,203000
204,-223.22816247845927,-203.51150625463228,-393.2864182674507,204000
205,-271.17913204203984,-353.2869207219253,-292.26036122319124,205000
206,-304.6433978908207,-290.60060551567784,-301.0498785216139,206000
207,-385.0440040859549,-372.5856160489858,-366.256429912803,207000
208,-130.07771827572003,-225.06822147143228,-318.5177868086553,208000
209,-213.9732168862602,-329.89086891227174,-258.0585668100261,209000
210,-241.1755031534577,-403.77512654758897,-210.6645513839591,210000
211,-278.73072714259706,-363.5168898949671,-418.3930958494169,211000
212,-291.42929343178963,-382.0083390594533,-288.2052513282508,212000
213,-367.6524301522458,-378.00096386688136,-233.43554965614132,213000
214,-301.1852627356292,-453.3671858448581,-255.67584921461997,214000
215,-273.3126337111817,-202.5566762982377,-359.3153726373862,215000
216,-383.6861885588145,-246.74809485304857,-245.95911051817274,216000
217,-260.7491336470746,-113.26655152448821,-291.0549305035763,217000
218,-193.55590735477682,-276.0940792012642,-310.17755403351174,218000
219,-468.9210689744746,-329.8572601450994,-387.9043434643941,219000
220,-236.42945334802485,-245.55283229494208,-268.92762940732854,220000
221,-248.42965894906274,-393.030206931871,-233.13071368958327,221000
222,-344.35071455043646,-285.35432068650687,-354.25900177882676,222000
223,-333.15604060957014,-228.25326035266826,-415.6108723521994,223000
224,-241.21567211671285,-160.9417516764986,-324.1431321128769,224000
225,-177.64246752658013,-354.2128323090472,-320.0907172300284,225000
226,-199.03943785530376,-331.70230590134315,-252.20159264712655,226000
227,-212.31310725926826,-200.63125883782922,-329.2588892934638,227000
228,-147.58483092816903,-299.7661113304295,-245.260042648997,228000
229,-286.103024083286,-346.54963591004486,-107.22456123527412,229000
230,-219.4385776284774,-269.03359682340033,-172.72412087803664,230000
231,-253.61036423578622,-346.10779300713307,-389.0381028162359,231000
232,-274.9278892424556,-287.2720662836796,-236.75744347312798,232000
233,-291.91401365785066,-395.46678074174446,-297.60029896116225,233000
234,-281.68266281147913,-244.59696342449118,-268.8304228862825,234000
235,-258.4199995455228,-344.7631673266831,-268.3510084693804,235000
236,-110.05462757999632,-402.01984602699605,-327.79894539405865,236000
237,-400.56072703945296,-301.00617054709164,-435.09292333996666,237000
238,-141.2859143471362,-203.66078469707563,-247.4988846557701,238000
239,-302.0394077619486,-304.96589849741025,-268.72913944006973,239000
240,-285.7542375841334,-303.2636320612677,-261.44848141509243,240000
241,-330.805355235203,-250.56055225766613,-325.9573704722581,241000
242,-254.57636713274212,-373.93189876299283,-201.70808843586235,242000
243,-363.3534125636377,-349.18418673557164,-361.22352019380884,243000
244,-279.3991843345685,-426.3374413722531,-361.1634675453637,244000
245,-278.58544869267564,-547.5065899652168,-273.9046960194158,245000
246,-289.2266806247751,-285.29511954082903,-215.45904302466695,246000
247,-278.4835721297043,-169.48774100310942,-356.8236846656147,247000
248,-238.18055617310858,-284.1411129138906,-179.2269409254599,248000
249,-326.760052170825,-307.1773440054644,-277.6972369534168,249000
250,-416.0799637589742,-456.8656341554765,-331.8934060205767,250000
251,-371.6607471288892,-259.8180576078409,-204.69939357543393,251000
252,-166.60185335284743,-310.3865178096426,-316.8602656223672,252000
253,-207.20153858933912,-204.28681856912272,-311.1745993305794,253000
254,-190.10428433841182,-208.12892004231057,-398.8311598227689,254000
255,-141.25366961688104,-300.8206680110862,-313.63047983697203,255000
256,-302.3695492909425,-205.72745368815742,-155.3425764309505,256000
257,-241.935075521805,-291.1821287276625,-367.0341406851887,257000
258,-172.27538238686228,-414.75021767160933,-315.7720200388412,258000
259,-204.68248550446043,-144.8544592925422,-297.1610888891414,259000
260,-202.68252618937456,-244.21302733242146,-436.7581069876406,260000
261,-218.25179109448965,-276.44861587935185,-356.5214268955405,261000
262,-214.29209430602003,-255.58049103594206,-279.5900060372762,262000
263,-422.7986440575052,-368.5635147770985,-226.611261504929,263000
264,-274.97037005940746,-449.3775811398855,-386.40437243350885,264000
265,-297.2385827381464,-228.66556320856483,-214.41067173452595,265000
266,-328.1476456614055,-225.78379322157605,-234.10424564603366,266000
267,-322.2738127730435,-240.0174181929559,-246.94608200097466,267000
268,-155.3539911405337,-153.406900169447,-435.26863341337213,268000
269,-220.72261660449004,-250.11861588741687,-490.26416258475797,269000
270,-274.85498003397845,-306.5604162061556,-327.4750793591695,270000
271,-148.50619342376638,-264.9513708506904,-341.1294120947459,271000
272,-358.36273738520174,-151.5634116187958,-316.070524605218,272000
273,-183.0324086999951,-418.79010383520875,-236.86523986658892,273000
274,-264.12193819534673,-377.18926745059713,-319.96851590632855,274000
275,-274.40145368304786,-321.96681097493627,-384.60279031861876,275000
276,-247.9975417068382,-344.00279805187677,-301.59463073253994,276000
277,-208.88116133867283,-245.15857827140925,-312.4063277633568,277000
278,-205.5503926394702,-333.455140356671,-396.0388135140962,278000
