Timestep, Average Length, Average Reward, Std
587250,60.6,112.3397566873745,2.6420316993848743
592428,60.4,111.82150003733553,3.2672978601211624
597428,58.9,107.35753761587596,2.8540716345754036
603198,60.6,111.53533743640583,2.7621849920616923
609609,59.5,108.66583391140948,2.794521326940939
614305,57.6,104.0171622315936,2.5392450596183527
620175,57.9,103.88565596365777,3.5301614372884838
625175,56.9,101.38955029462575,3.4880182552857097
630087,55.0,96.447781087238,5.136398558532277
634652,46.5,79.99850904248662,22.56117355874557
639828,52.3,91.61407501428285,17.9749668454719
644690,57.3,102.24877701940358,5.1715745494954115
650179,53.4,92.91513546162406,5.332652523303215
655460,56.0,99.04238086989504,2.8523620984067186
660360,56.6,101.58938812548627,2.4753660869723717
665483,55.6,99.16338329618495,2.5052506013721323
670483,58.5,106.372109211932,2.77726373173484
675483,57.9,104.95264546886494,2.9429642464084322
680483,61.1,113.77869661549391,3.0613142511757125
685828,65.2,125.16633293931822,2.1044847740975405
691717,65.2,124.6407127936396,2.708853315466107
696239,68.9,135.3827434351196,2.6652029446353476
701239,73.9,149.23444882838152,2.229446704593711
706239,74.8,151.60901460996556,2.7053536449531426
711618,72.2,144.0030860443232,4.291509905724786
716375,66.9,129.74248755151456,2.9247635432283263
721375,70.4,139.66371072056194,4.165095549726977
726375,70.6,140.64657562190672,3.7863591649015436
731375,70.2,139.53767881432188,4.102482701708681
736375,76.3,156.12173502240688,3.258510697895789
742117,76.7,155.51182156987915,2.146616173181317
747117,75.7,154.0822114505301,2.437103100970005
752117,71.9,145.23461331535054,2.772735446664689
757049,67.6,133.08896789611936,1.8891449129425473
762049,70.5,141.47138942793296,2.78789566227498
767798,71.7,144.66301403502416,1.7993997383172788
774459,70.7,141.29061676354013,2.288731688934968
779900,70.8,140.9687292231947,2.8731086979609493
785372,77.8,160.31276292500985,3.1153643798755057
790685,80.3,166.41241861164667,3.096105782667745
795685,84.6,177.44694406662325,2.515971487575375
800685,88.7,185.35374315237587,2.7448755468188204
806449,89.2,184.88059837992589,2.4054492913713674
810873,87.1,180.15073404695914,2.3780804301872855
815378,83.5,167.98008289040553,2.3412262097433105
819828,73.5,146.72798641632238,3.126315269445777
825446,68.9,134.71945444512946,2.933644920362824
831018,66.7,128.82486053866342,2.397545839009355
835710,64.0,121.03243918509065,3.3717449875597945
841080,62.4,116.5204641848525,3.0032943966572847
847905,62.8,116.65728150571597,3.3486219641606185
853485,64.4,121.27108723746892,2.0358013818242005
